6,McLaren Mercedes,15,8,2,,8,53
5,McLaren Mercedes,15,7,3,,6,53
17,BAR Honda,15,9,4,,5,53
7,Renault,15,19,5,,4,53
16,BAR Honda,15,13,6,,3,53
21,Toyota,15,3,7,,2,53
1,Ferrari,15,14,8,,1,53
9,Sauber Petronas,15,11,9,,0,53
20,Toyota,15,4,10,,0,53
14,Jaguar Cosworth,15,6,11,,0,53
4,Williams BMW,15,20,12,,0,52
15,Jaguar Cosworth,15,10,13,,0,52
12,Jordan Ford,15,15,14,,0,51
19,Minardi Cosworth,15,17,15,,0,51
18,Minardi Cosworth,15,18,16,,0,50
11,Jordan Ford,15,16,NC,DNF,0,33
8,Renault,15,5,NC,DNF,0,17
10,Sauber Petronas,15,12,NC,DNF,0,9
3,Williams BMW,15,2,NC,DNF,0,9
